FPL,4.84
FR,43.31
FRA,12.87
FRC,167.48
FRC-G,25.33
FRC-H,25.5
FRC-I,26.4
FRC-J,25.57
FRC-K,24.53
FRC-L,25.3
FRO,6.94
FRT,103.19
FRT-C,25.98
FRX,13.07
FRX.U,14.5
FRX.W,4.2
FSD,14.88
FSK,19.64
FSKR,18.88
FSLF,14.45
FSLY,75.55
FSM,7.63
FSR,26.53
FSR.W,14.57
FSS,37.14
FST,11.36
FST.U,12.37
FST.W,2.15
FT,7.35
FTA-A,25.21
FTA-B,24.91
FTAI,27.32
FTCH,65.28
FTHY,19.74
FTI,8.23
FTK,2.3
FTS,38.91
FTV,66.74
FTV-A,964.78
FUBO,37.25
FUL,57.15
FUN,49.92
FUS.U,11.69
FUS.W,2.03
FUSE,10.92
FVRR,279.5
FVT,10.15
FVT.U,10.44
FVT.W,1.96
G,40.95
GAB,6.7
GAB-G,25.5785
GAB-H,25.57
GAB-J,25.73
GAB-K,25.95
GAM,38.2
GAM-B,27.37
GATO,14.49
GATX,97.14
GB,13
GB.W,1.6
GBAB,24.4
GBL,19.52
GBX,48.38
GCI,5.08
GCO,46.38
GCP,25.19
GCV,6.28
GD,165
GDDY,82.51
GDL,8.84
GDL-C,50.95
GDO,17.83
GDOT,48.33
GDV,22.92
GDV-G,25.73
GDV-H,27.25
GE,12.92
GEF,49.33
GEF.B,50.42
GEL,8.07
GEN,0.798
GEO,7.38
GER,8.89
GES,25.78
GF,20.7
GFF,25.18
GFI,8.36
GFL,31.37
GFLU,74.97
GFX,10.3
GFX.U,10.85
GFX.W,1.55
GGB,4.74
GGG,70.05
GGM,20.17
GGT,9.41
GGT-E,25.8
GGT-G,25.89
GGZ,14.11
GGZ-A,26.07
GHC,607.52
GHG,13.05
GHL,15.6
GHLD,16.05
GHM,15.66
GHY,14.78
GIB,75.27
GIK,12.26
GIK.U,14.65
GIK.W,3.52
GIL,30.96
GIM,5.49
GIS,55.14
GIX,10.11
GIX.P,0.3814
GIX.U,11.34
GIX.W,1
GJH,10.3887
GJP,23.6813
GJT,20.95
GKOS,93.99
GL,95.07
GL-C,25.45
GLE.W,1
GLEO,10.4
GLO-A,21.07
GLO-B,20.37
GLO-C,20.65
GLO-G,24.38
GLOB,220.01
GLOG,5.81
GLOP,3.24
GLP,20.28
GLP-A,25.7
GLT,16.34
GLW,38.88
GM,52.41
GME,104.54
GMED,63.26
GMR-A,26.25
GMRE,13.59
GMS,37.29
GMTA,25.33
GNE,7.69
GNE-A,9.19
GNK,10.79
GNL,19
GNL-A,25.68
GNL-B,25.4
GNP.U,11.31
GNP.W,1.73
GNPK,10.52
GNRC,335
GNT,4.94
GNT-A,25.9
GNW,3.25
GOA.U,10.74
GOA.W,1.57
GOAC,10.25
GOF,20.88
GOL,7.8
GOLD,19
GOLF,42.77
GOOS,45.45
GPC,106.39
GPI,156.08
GPJA,26.27
GPK,16.06
GPM,6.91
GPMT,11.45
GPN,201.18
GPRK,16.65
GPS,25.55
GPX,13.47
GRA,59.46
GRC,33.09
GRP.U,58
GRUB,63.87
GRX,12.16
GS,325
GS-A,23.45
GS-C,24.1
GS-D,23.87
GS-J,26.51
GS-K,27.4
GS-N,25.37
GSA.U,13
GSA.W,3.6
GSAH,12.23
GSBD,18.45
GSK,33.88
GSL,16.05
GSL-B,25.15
GSLD,25.02
GSQ.U,10.45
GSX,103.95
GTES,15.25
GTLS,145.69
GTN,18.62
GTN.A,16.86
GTS,25.84
GTT,1.9
GTY,28.05
GUT,8.04
GUT-A,27.76
GUT-C,25.82
GVA,35.38
GWB,27.67
GWRE,112.7
GWW,376.12
H,90
HAE,127.67
HAL,22.33
HASI,57.31
HBB,17.89
HBI,17.98
HBM,7.32
HCA,173.88
HCC,19.69
HCHC,3.6
